,location,variable,value,sample_class,sample,value_h,time
0,1,B.1.1.7,0.0187695925663998,flongle,flongle_31584,0.019821095084332,15h
1,1,B.1.1.7,0.0187695925663998,flongle,flongle_31584,0.0190160055021202,10h
2,1,B.1.1.7,0.0187695925663998,flongle,flongle_31584,0.0140643786441087,5h
3,10,B.1.1.7,0.0028624569525902,flongle,flongle_31584,0.0018325552444916,15h
4,10,B.1.1.7,0.0028624569525902,flongle,flongle_31584,0.0001036907038924,10h
5,10,B.1.1.7,0.0028624569525902,flongle,flongle_31584,0.0002651492836755,5h
6,11,B.1.1.7,0.0040539154377192,flongle,flongle_31584,0.0055121944818398,15h
7,11,B.1.1.7,0.0040539154377192,flongle,flongle_31584,0.0049433589311116,10h
8,11,B.1.1.7,0.0040539154377192,flongle,flongle_31584,0.0073039182014979,5h
9,12,B.1.1.7,0.0078035457810289,flongle,flongle_31584,0.0080823023310137,15h
10,12,B.1.1.7,0.0078035457810289,flongle,flongle_31584,0.0082004967626377,10h
11,12,B.1.1.7,0.0078035457810289,flongle,flongle_31584,0.0122332831459982,5h
12,2,B.1.1.7,0.0301000655451029,flongle,flongle_31584,0.0291633452784112,15h
13,2,B.1.1.7,0.0301000655451029,flongle,flongle_31584,0.0301209545107074,10h
14,2,B.1.1.7,0.0301000655451029,flongle,flongle_31584,0.0348731524765176,5h
15,3,B.1.1.7,0.0192332375461881,flongle,flongle_31584,0.0201395280091881,15h
16,3,B.1.1.7,0.0192332375461881,flongle,flongle_31584,0.0214264135584179,10h
17,3,B.1.1.7,0.0192332375461881,flongle,flongle_31584,0.020409485153658,5h
18,4,B.1.1.7,0.0178190420870508,flongle,flongle_31584,0.0195083990658833,15h
19,4,B.1.1.7,0.0178190420870508,flongle,flongle_31584,0.0184467539170487,10h
20,4,B.1.1.7,0.0178190420870508,flongle,flongle_31584,0.0175577788516314,5h
21,5,B.1.1.7,0.0170568276971352,flongle,flongle_31584,0.0178854160978174,15h
22,5,B.1.1.7,0.0170568276971352,flongle,flongle_31584,0.0186380258125962,10h
23,5,B.1.1.7,0.0170568276971352,flongle,flongle_31584,0.0123779912067335,5h
24,6,B.1.1.7,0.0242629541318014,flongle,flongle_31584,0.0224382681026675,15h
25,6,B.1.1.7,0.0242629541318014,flongle,flongle_31584,0.0228357569767894,10h
26,6,B.1.1.7,0.0242629541318014,flongle,flongle_31584,0.0136217911524427,5h
27,7,B.1.1.7,0.0038225281502494,flongle,flongle_31584,0.0041398919164428,15h
28,7,B.1.1.7,0.0038225281502494,flongle,flongle_31584,0.0048443209794527,10h
29,7,B.1.1.7,0.0038225281502494,flongle,flongle_31584,0.0052947262468309,5h
30,8,B.1.1.7,0.0116839980203577,flongle,flongle_31584,0.0119766445840842,15h
31,8,B.1.1.7,0.0116839980203577,flongle,flongle_31584,0.0094995862173138,10h
32,8,B.1.1.7,0.0116839980203577,flongle,flongle_31584,0.0020620201147956,5h
