,location,variable,value,sample_class,sample,Omicron_frac,Omicron_frac_calibrated,batch
0,1,B.1.617.2,1.5950339540966316e-11,Illumina,illumina_31441,1.0,1.0,batch1
1,1,BA.1,0.991278821812297,Illumina,illumina_31441,1.0,1.0,batch1
2,1,B.1.617.2,0.0152172801631227,Flongle,flongle_31583,1.0,1.0,batch1
3,1,BA.1,0.7931124118953545,Flongle,flongle_31583,1.0,1.0,batch1
4,1,B.1.617.2,0.015253849467679,MinION,minION_31442,1.0,1.0,batch1
5,1,BA.1,0.8915852406755759,MinION,minION_31442,1.0,1.0,batch1
6,1,B.1.617.2,2.5353435557092398e-11,Aviti,aviti_31441,1.0,1.0,batch1
7,1,BA.1,0.9908466650196776,Aviti,aviti_31441,1.0,1.0,batch1
8,1,B.1.617.2,1.7429085317239408e-10,Illumina,illumina_31519,1.0,1.0,batch2
9,1,BA.1,0.9894440986053376,Illumina,illumina_31519,1.0,1.0,batch2
10,1,B.1.617.2,0.0120279412174657,Flongle,flongle_31584,1.0,1.0,batch2
11,1,BA.1,0.8061615422874548,Flongle,flongle_31584,1.0,1.0,batch2
12,1,B.1.617.2,0.0091189537664615,MinION,minION_31520,1.0,1.0,batch2
13,1,BA.1,0.8883854658874146,MinION,minION_31520,1.0,1.0,batch2
14,1,B.1.617.2,6.5392258268909e-13,Aviti,aviti_31519,1.0,1.0,batch2
15,1,BA.1,0.9901764445017318,Aviti,aviti_31519,1.0,1.0,batch2
16,1,B.1.617.2,9.450159947156996e-10,Illumina,illumina_31581,1.0,1.0,batch3
17,1,BA.1,0.9916225934984404,Illumina,illumina_31581,1.0,1.0,batch3
18,1,B.1.617.2,0.0046857807022248,Flongle,flongle_31585,1.0,1.0,batch3
19,1,BA.1,0.8488170879535873,Flongle,flongle_31585,1.0,1.0,batch3
20,1,B.1.617.2,0.0056465355431734,MinION,minION_31582,1.0,1.0,batch3
21,1,BA.1,0.9284303412223762,MinION,minION_31582,1.0,1.0,batch3
22,1,B.1.617.2,7.704984178360827e-11,Aviti,aviti_31581,1.0,1.0,batch3
23,1,BA.1,0.990155219849036,Aviti,aviti_31581,1.0,1.0,batch3
24,10,B.1.617.2,0.9649023843614268,Illumina,illumina_31441,0.03125,0.0217,batch1
25,10,BA.1,1.9685613090162346e-17,Illumina,illumina_31441,0.03125,0.0217,batch1
26,10,B.1.617.2,0.8282960033607815,Flongle,flongle_31583,0.03125,0.0217,batch1
27,10,BA.1,1.6679278078468125e-23,Flongle,flongle_31583,0.03125,0.0217,batch1
28,10,B.1.617.2,0.9649023843614268,MinION,minION_31442,0.03125,0.0217,batch1
29,10,BA.1,1.9685613824845517e-17,MinION,minION_31442,0.03125,0.0217,batch1
30,10,B.1.617.2,0.965646456623818,Aviti,aviti_31441,0.03125,0.0217,batch1
31,10,BA.1,3.425013472148286e-17,Aviti,aviti_31441,0.03125,0.0217,batch1
32,10,B.1.617.2,0.9653398620358054,Illumina,illumina_31519,0.03125,0.0217,batch2
33,10,BA.1,0.0167539725690093,Illumina,illumina_31519,0.03125,0.0217,batch2
34,10,B.1.617.2,0.8318063926434638,Flongle,flongle_31584,0.03125,0.0217,batch2
35,10,BA.1,4.443564031308042e-17,Flongle,flongle_31584,0.03125,0.0217,batch2
36,10,B.1.617.2,0.9056517161724628,MinION,minION_31520,0.03125,0.0217,batch2
37,10,BA.1,1.2214889831634698e-39,MinION,minION_31520,0.03125,0.0217,batch2
38,10,B.1.617.2,0.9662596065352348,Aviti,aviti_31519,0.03125,0.0217,batch2
39,10,BA.1,0.0162457052778005,Aviti,aviti_31519,0.03125,0.0217,batch2
40,10,B.1.617.2,0.9605738824891484,Illumina,illumina_31581,0.03125,0.0217,batch3
41,10,BA.1,1.9911426325361988e-14,Illumina,illumina_31581,0.03125,0.0217,batch3
42,10,B.1.617.2,0.8434364693171087,Flongle,flongle_31585,0.03125,0.0217,batch3
43,10,BA.1,0.0126272274143224,Flongle,flongle_31585,0.03125,0.0217,batch3
44,10,B.1.617.2,0.9154080317728436,MinION,minION_31582,0.03125,0.0217,batch3
45,10,BA.1,0.0174205161003435,MinION,minION_31582,0.03125,0.0217,batch3
46,10,B.1.617.2,0.9618902073372348,Aviti,aviti_31581,0.03125,0.0217,batch3
47,10,BA.1,3.9005763535405373e-13,Aviti,aviti_31581,0.03125,0.0217,batch3
48,11,B.1.617.2,0.9871350693887948,Illumina,illumina_31441,0.01625,0.010780000000000001,batch1
49,11,BA.1,2.8968078097357833e-19,Illumina,illumina_31441,0.01625,0.010780000000000001,batch1
50,11,B.1.617.2,0.8132757481668891,Flongle,flongle_31583,0.01625,0.010780000000000001,batch1
51,11,BA.1,1.0263265480672464e-14,Flongle,flongle_31583,0.01625,0.010780000000000001,batch1
52,11,B.1.617.2,0.9042317466142328,MinION,minION_31442,0.01625,0.010780000000000001,batch1
53,11,BA.1,1.2333110778584351e-08,MinION,minION_31442,0.01625,0.010780000000000001,batch1
54,11,B.1.617.2,0.9866652622265426,Aviti,aviti_31441,0.01625,0.010780000000000001,batch1
55,11,BA.1,2.814530310441498e-20,Aviti,aviti_31441,0.01625,0.010780000000000001,batch1
56,11,B.1.617.2,0.9568035784088996,Illumina,illumina_31519,0.01625,0.010780000000000001,batch2
57,11,BA.1,5.288317168467708e-16,Illumina,illumina_31519,0.01625,0.010780000000000001,batch2
58,11,B.1.617.2,0.8650907263959063,Flongle,flongle_31584,0.01625,0.010780000000000001,batch2
59,11,BA.1,1.5406310480762472e-19,Flongle,flongle_31584,0.01625,0.010780000000000001,batch2
60,11,B.1.617.2,0.9092610143996108,MinION,minION_31520,0.01625,0.010780000000000001,batch2
61,11,BA.1,4.982347250621359e-23,MinION,minION_31520,0.01625,0.010780000000000001,batch2
62,11,B.1.617.2,0.9585855071064532,Aviti,aviti_31519,0.01625,0.010780000000000001,batch2
63,11,BA.1,2.4787812122091424e-15,Aviti,aviti_31519,0.01625,0.010780000000000001,batch2
