sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
G3_17_2023_01_05,0.0,130759.5,21605.0,23105.0,58.0,2272.0,117939.0,6.0,200.0,190.0,2211.0,8601.0,13779.0,162.0,0.0,6157.0,1694.0,3622.0,3892.0,178.5,26.0,174.0,0.0,65.0,1128.0,675.0,36933.5,48565.0,99.0,82.0,0.0,6103.0,272.0,7739.0,1133.0,260.0,1668.0,849.0,5619.0,16151.0,10912.0,880.0,6953.0,23455.0,100312.5,20753.0,294.0,4508.0,140.0,350.0,28.5,24673.5,5494.0,8525.0,15939.0,44051.0,178.0,54976.0,1532.0,187.0,36826.5,3525.5,59527.5,850.0,335.0,784.0,524.0,3098.0,1760.0,2942.0,2742.0,2816.5,12.0,0.0,0.0,1478.0,1634.0,27052.5,316.0,974.0,2852.0,13813.0,1334.0,35152.0,4443.5,418.0,15262.0,107.0,18596.0,2030.0,38123.0,608.0,28491.0,8847.0,70457.5,154114.0,70106.0,15217.0,4300.0
G5_25_2023_01_07,0.0,244119.5,15546.0,34552.0,8.0,2281.0,12380.0,4.0,4.0,552.0,208.0,43373.0,188.0,112.0,0.0,12653.0,58.0,7480.0,236.0,49.0,2.0,214.0,0.0,56.0,114.0,1295.0,21266.5,184507.0,3.0,142.0,0.0,18682.5,26.0,10937.5,179.0,1302.0,20.0,5029.5,138.0,99056.0,1820.0,3379.0,254.0,88903.0,60495.0,32817.0,0.0,5102.0,0.0,558.0,15.0,81262.5,1684.0,15231.0,194.0,104477.0,1.0,220221.5,4.0,1261.0,5554.0,16752.0,10428.0,5734.0,0.0,809.0,0.0,6141.0,12.0,4910.0,12.0,2798.0,0.0,2.0,0.0,2646.0,12.0,51558.0,980.0,1487.0,8.0,26887.0,12.0,101904.0,200.0,308.0,1418.0,85.5,466.0,3308.0,34.0,610.0,602.0,8052.0,10384.0,261942.0,1212.0,46887.0,278.0
F4_19_2023_01_05,0.0,136337.0,25455.0,6706.0,12.0,1004.0,82567.0,0.0,29.0,264.0,1626.0,9599.0,1672.0,10.0,0.0,2748.0,524.0,964.0,1190.0,10.0,2.0,12.0,0.0,2.0,372.0,266.0,63471.0,64660.0,26.0,34.0,0.0,2344.0,96.0,4335.0,1054.0,174.0,228.0,523.0,1326.0,27404.0,10922.0,422.0,2746.0,30697.5,121858.5,15254.0,12.0,1266.0,20.0,136.0,47.5,20619.5,5398.0,6386.0,3590.0,31071.0,6.0,37935.0,78.0,342.0,29094.0,2742.5,43902.0,2512.0,20.0,146.0,0.0,690.0,282.0,594.0,172.0,724.5,0.0,2.0,0.0,444.0,92.0,24903.5,1516.0,203.0,94.0,6260.0,76.0,30114.0,1874.0,46.0,5632.0,18.0,3551.0,2014.0,434.0,62.0,2934.0,904.0,29602.5,107855.0,10815.5,9019.5,588.0
A2_10_2023_01_05,4.0,52819.0,17550.0,14813.0,800.0,2295.5,66348.0,94.5,779.0,504.0,13637.5,10605.0,15534.5,611.0,0.0,9645.0,8186.0,2113.0,7307.0,187.0,222.0,132.0,18.0,85.0,5500.0,437.0,46546.5,24241.0,731.0,2940.0,14.0,3547.5,1110.0,12834.5,2936.5,6162.0,5797.0,1853.5,8134.5,14176.0,16861.0,2701.0,9936.0,16755.5,50199.0,16578.0,1923.0,9861.0,240.0,2392.0,107.0,9658.5,3458.0,12356.0,16032.0,21913.0,1745.5,18727.5,3776.0,279.0,10645.0,3093.0,28924.5,936.0,376.0,694.0,2811.0,658.0,5981.0,1510.0,4332.0,2685.5,88.0,54.0,0.0,1552.0,9727.0,22341.0,737.0,1939.5,4271.0,8773.0,2210.0,24832.0,20545.5,1080.0,16776.0,355.0,15749.0,7188.0,11310.0,1026.0,5596.0,15018.0,29611.0,60975.0,70254.0,10603.0,6062.0
A3_16_2023_01_06,92.0,129672.5,26278.0,31012.0,294.0,4447.0,95367.0,49.0,187.0,174.0,13190.5,19202.0,41909.0,281.0,0.0,7390.0,7916.0,1842.0,9419.0,126.0,74.0,260.0,4.0,91.0,6214.0,659.0,92182.0,60110.5,508.5,432.0,0.0,6607.0,904.0,16344.5,4353.5,3176.0,5912.0,3135.0,12404.0,33512.5,23768.0,2492.0,10873.0,32523.0,101253.0,24639.0,766.0,9603.5,258.0,994.0,104.0,22972.5,6226.0,12514.0,25931.0,43779.0,717.0,42383.0,3808.0,286.0,26266.0,4761.5,53992.5,1134.0,219.0,722.0,2118.0,1454.0,4819.5,1154.0,6934.0,2078.5,14.0,12.0,2.0,1794.0,3880.0,19727.5,1470.0,2751.5,3917.0,17419.0,2228.0,48757.5,15722.0,660.0,17754.0,289.5,16612.0,6214.0,29109.0,1146.0,14967.0,16177.0,44384.0,103535.5,72312.5,15873.0,3688.0
E4_19_2023_01_04,16.0,83666.0,26433.0,20455.0,184.0,5680.5,91193.5,12.0,182.0,150.0,9462.0,14045.0,30289.5,95.0,0.0,8618.0,4808.0,2031.5,9086.0,97.0,68.0,154.0,0.0,63.0,2916.0,716.0,99368.0,60727.0,404.0,182.0,0.0,4563.5,568.0,10043.5,3453.0,1854.0,3424.0,3754.5,8982.5,29462.0,18408.0,2276.0,9438.0,30435.0,89537.0,26237.0,388.0,6875.5,196.0,752.0,117.5,25236.0,5576.0,14974.0,18168.0,47166.0,236.0,43476.0,1706.0,542.0,29815.0,3616.0,58178.5,2382.0,226.0,510.0,1266.0,1820.0,3800.0,1728.0,6477.0,2755.5,4.0,28.0,2.0,1732.0,2198.0,29623.5,1812.0,1107.0,2020.0,10508.0,1468.0,40597.0,16101.0,394.0,18176.0,167.0,13239.0,3826.0,19358.0,438.0,10820.0,7332.0,38348.5,101356.5,41327.0,16343.5,3274.0
D2_10_2023_01_08,0.0,42315.5,5702.0,8448.0,362.0,1190.0,27108.5,35.0,195.0,34.0,4160.0,4330.0,7010.0,192.0,0.0,4962.0,3956.0,1247.0,2832.0,142.0,84.0,56.0,8.0,78.0,2007.0,272.5,21684.5,11951.0,150.0,928.0,2.0,1312.0,772.0,5702.0,1049.5,1764.0,2662.0,585.0,4432.0,8997.0,7143.0,1027.0,3006.0,7188.0,37330.5,8976.0,950.0,3285.0,112.0,558.0,19.0,3432.0,1052.0,3728.0,8032.0,9950.0,476.0,13197.0,1288.0,149.0,5532.0,1074.0,15210.5,300.0,118.0,394.0,1182.0,330.0,4521.0,1378.0,1572.0,1218.0,54.0,12.0,0.0,398.0,3027.0,10674.0,420.0,816.5,3314.0,6733.5,1314.0,9054.0,4452.5,858.0,8222.0,317.5,10426.0,4338.0,6258.0,344.0,5984.0,10194.0,20464.0,39892.5,31772.5,7639.5,1489.0
F2_10_2023_01_10,2.0,44850.0,18231.0,17617.0,1000.0,5543.5,77850.0,232.0,875.0,106.0,12756.0,13182.0,21109.0,1645.0,0.0,14658.0,12177.0,3676.5,8728.0,767.0,392.0,514.0,146.0,343.0,8269.0,1019.0,52743.0,43920.0,514.5,4774.0,8.0,5738.5,1236.0,18883.0,2362.0,10730.0,9161.0,3967.5,11547.5,22791.0,14094.0,4298.0,9930.0,23595.5,56965.0,22044.0,2820.0,12969.0,270.0,4004.0,64.0,10532.0,4042.0,13586.0,17923.0,23993.0,2358.0,22612.0,3434.0,275.0,13538.0,3274.5,35538.0,964.0,586.0,634.0,8990.0,1178.0,11462.5,2822.0,9126.0,4842.5,576.0,184.0,2.0,1488.0,14508.0,24987.5,1178.0,3128.5,10417.0,14141.5,5708.0,26111.0,23740.0,2281.0,21415.0,989.5,28051.0,5564.0,26138.0,2080.0,11242.0,24239.0,39917.5,77969.5,84669.5,14776.0,7904.0
H3_17_2023_01_06,0.0,115689.5,24177.0,17515.0,60.0,1954.0,90437.0,12.0,83.0,108.0,2764.0,10558.0,23780.5,88.0,0.0,4759.0,3365.0,1690.0,4632.0,65.0,16.0,100.0,0.0,37.0,1192.0,366.5,67879.0,37716.0,163.5,78.0,0.0,4332.0,372.0,8013.0,1771.5,524.0,1461.0,1131.0,7407.5,27257.0,15384.0,1076.0,3558.0,20021.0,77225.5,12481.0,90.0,3746.0,48.0,248.0,31.0,14291.5,5540.0,4819.0,14258.0,36379.0,136.5,45563.0,782.0,246.0,26289.0,2368.5,44467.0,1078.0,179.0,650.0,448.0,1250.0,2878.0,1210.0,3196.0,2197.5,0.0,7.0,0.0,1186.0,1544.0,18682.5,1806.0,1208.5,882.0,8274.0,542.0,23958.0,4748.5,252.0,11536.0,125.0,12120.0,2954.0,15807.0,546.0,17543.0,7190.0,66567.0,124455.5,49731.5,14167.5,3344.0
D3_16_2023_01_09,70.0,53895.0,16839.0,17445.0,918.0,4996.5,86407.5,83.0,1053.0,108.0,16839.0,13807.0,19886.0,882.0,0.0,12876.0,7508.0,3141.5,8506.0,364.0,190.0,344.0,22.0,224.0,5488.0,593.0,44728.0,30856.0,516.0,2666.0,4.0,3118.0,647.0,12363.5,3072.0,6366.0,5626.0,3122.5,6862.0,18168.0,10240.0,3288.0,9023.0,21866.5,40354.5,21198.0,1241.0,10371.5,162.0,2216.0,77.0,11847.0,4306.0,12287.0,15970.0,25713.0,1534.5,23233.0,3852.0,159.0,11592.5,3380.0,32770.0,556.0,343.0,278.0,4227.0,670.0,7173.5,2030.0,4481.0,3563.5,114.0,80.0,0.0,666.0,13261.0,24003.5,684.0,2128.0,5782.0,12235.5,2929.0,32132.0,30660.5,1840.0,24075.0,457.0,20589.0,3574.0,20576.0,1450.0,9710.0,17002.0,40773.5,69746.5,70199.5,12779.5,5479.0
C2_10_2023_01_07,6.0,60115.5,12516.0,13786.0,184.0,4735.5,53481.5,75.0,294.0,244.0,8171.5,8154.0,16674.5,441.0,0.0,6276.0,6044.0,2216.5,4076.0,236.0,128.0,302.0,8.0,130.0,2664.0,632.5,48926.5,24904.0,300.0,1122.0,0.0,2761.0,648.0,11196.5,1831.0,3518.0,3909.0,1643.5,7159.5,14164.0,11358.0,1607.0,5191.0,14088.5,58487.0,13276.0,1142.0,7470.0,202.0,1204.0,70.0,6273.0,2086.0,7630.0,11312.0,15020.0,544.0,15610.0,1926.0,382.0,10603.0,2236.0,22898.5,1208.0,234.0,1016.0,3578.0,1226.0,5329.5,2091.0,4344.0,2767.0,40.0,32.0,0.0,2114.0,5468.0,17955.5,1462.0,2321.0,3792.5,11063.0,1900.0,19279.0,9771.0,1158.0,10301.0,546.0,13172.0,8224.0,14057.0,998.0,7698.0,15426.0,26673.5,51954.0,42764.0,10736.0,2526.0
C1_05_2023_01_06,0.0,57566.0,15779.5,11866.0,152.0,762.0,64444.5,40.0,166.0,112.0,5637.0,8267.0,15117.0,238.0,0.0,5686.0,3150.0,1469.5,3874.0,85.0,70.0,120.0,4.0,52.0,1756.0,497.0,47941.0,24709.0,168.0,402.0,0.0,2657.5,376.0,8612.5,1174.5,1592.0,2147.0,1021.0,5808.5,14823.0,9998.0,916.0,3402.0,13368.5,55685.0,11621.0,346.0,3968.0,92.0,556.0,60.0,6160.0,3058.0,4716.0,10602.0,12568.0,220.0,15800.0,1030.0,268.0,12953.0,1174.0,21261.5,866.0,123.0,520.0,782.0,886.0,2292.0,918.0,2040.0,1624.0,0.0,6.0,0.0,1260.0,2032.0,15309.5,794.0,1157.0,1708.0,9103.5,934.0,15013.0,6099.5,352.0,7803.0,207.0,9339.0,4954.0,10819.0,448.0,7003.0,10393.0,28122.5,61865.0,43691.0,10214.0,2731.0
D5_25_2023_01_04,0.0,46353.5,22237.0,28796.0,556.0,7286.0,92797.5,313.0,791.0,102.0,16487.0,13813.5,22964.0,1871.0,0.0,14206.0,6652.0,3437.0,7880.0,417.0,62.0,519.0,42.0,278.0,5636.0,1128.5,52282.5,36107.0,266.0,1460.0,0.0,4037.5,1042.0,20195.0,2720.5,6974.0,7171.0,4223.5,11940.0,16586.0,12560.0,3414.0,10439.0,13967.5,68239.5,16184.0,2000.0,8901.0,108.0,1468.0,48.0,12274.5,3289.0,9665.0,13537.0,26400.0,909.0,21823.0,3517.0,169.0,20476.5,2312.0,45172.5,400.0,518.0,312.0,5296.0,939.0,7245.0,1648.0,12048.0,2761.0,328.0,58.0,0.0,928.0,11647.0,22590.0,1294.0,5200.5,8478.0,15000.5,3600.0,28842.0,20570.5,2476.0,15061.0,1360.5,19003.0,5050.0,30684.0,2740.0,13173.0,30236.0,40204.0,79919.5,73633.5,25220.5,5046.0
E1_05_2023_01_08,0.0,94259.0,26125.0,14423.0,172.0,1464.0,98289.0,13.0,98.0,188.0,7296.0,11239.0,24767.0,125.0,0.0,6406.0,2152.0,1582.0,5427.0,47.0,50.0,102.0,0.0,66.0,2342.0,739.5,77984.5,48091.0,281.0,260.0,0.0,4844.5,252.0,9061.0,1489.0,1146.0,1428.0,2244.0,6945.0,25379.0,14403.0,1196.0,6776.0,22990.0,94854.5,13882.0,250.0,3500.0,112.0,380.0,72.0,17042.5,3916.0,7150.0,14306.0,28034.0,137.0,36231.0,1196.0,246.0,29882.0,2413.0,49787.0,1502.0,159.0,514.0,526.0,996.0,1800.0,1218.0,2650.0,1497.5,0.0,6.0,0.0,1414.0,846.0,25678.0,1736.0,1584.5,1058.0,12418.0,799.0,37210.0,6781.5,370.0,10914.0,132.0,11319.0,2912.0,15680.0,510.0,12910.0,7482.0,49598.5,94771.5,37927.5,18291.0,2446.0
B1_05_2023_01_05,0.0,91786.5,20883.0,15618.0,86.0,1807.5,83833.5,11.0,106.0,172.0,5845.0,13416.0,24400.5,118.0,0.0,6886.0,2971.0,1969.0,5274.0,34.0,30.0,104.0,0.0,23.0,1740.0,441.0,65465.0,37640.0,255.5,170.0,0.0,3682.0,264.0,9488.5,1907.5,992.0,2060.0,1681.5,6579.0,22367.5,16193.0,1396.0,5744.0,22588.5,82639.0,12986.0,178.0,3418.0,158.0,326.0,114.5,12504.5,4154.0,8073.0,11888.0,23110.0,107.5,31068.5,756.0,537.0,19814.0,2916.5,38372.0,1948.0,153.0,488.0,560.0,1199.0,1992.0,1160.0,3747.0,1776.5,0.0,8.0,0.0,1628.0,1422.0,21991.0,2352.0,1586.0,852.0,13010.0,608.0,30548.0,8731.5,310.0,11206.0,102.0,10966.0,4444.0,14742.0,286.0,11054.0,8380.0,39517.5,91518.0,48264.5,16440.5,2925.0
B3_16_2023_01_07,0.0,141054.0,36441.0,12486.0,70.0,1276.0,115832.0,2.0,70.0,530.0,4016.0,13089.0,16379.5,64.0,0.0,4608.0,1482.0,2009.0,3832.0,26.0,12.0,62.0,0.0,22.0,1330.0,444.0,90155.0,66993.0,71.0,90.0,0.0,3320.0,300.0,7164.5,2334.0,548.0,1736.0,1066.5,4632.5,35521.0,18700.0,992.0,5388.0,35918.0,144576.0,19433.0,88.0,3124.0,116.0,304.0,60.0,19841.5,7706.0,6190.0,10998.0,36642.0,41.0,44170.0,680.0,493.0,46979.0,3894.5,71917.5,2588.0,114.0,484.0,184.0,1852.0,974.0,1254.0,2046.0,1929.5,0.0,2.0,0.0,1510.0,582.0,27712.0,2606.0,925.0,610.0,13785.0,448.0,36828.0,3582.5,198.0,11091.0,67.0,7968.0,2992.0,7278.0,262.0,10516.0,2962.0,53680.5,131374.5,28935.0,9223.5,1720.0
C5_19_2023_01_10,0.0,195818.5,24493.5,13338.0,10.0,2650.0,42422.0,1.0,12.0,550.0,800.0,20152.0,376.0,18.0,0.0,5158.0,242.0,2010.0,696.0,11.0,2.0,38.0,0.0,12.0,238.0,441.0,52373.0,147711.0,22.0,50.0,0.0,6506.5,48.0,9204.0,739.0,750.0,111.0,1921.5,726.0,63319.0,8442.0,1704.0,2109.0,66670.0,144259.5,28405.0,2.0,2150.0,14.0,244.0,41.0,55408.0,5862.0,13561.5,1844.0,78494.0,2.0,103152.0,42.0,992.0,14397.0,9078.5,33620.5,6594.0,5.0,446.0,0.0,1506.0,68.0,1408.0,72.0,1793.5,0.0,0.0,0.0,1372.0,30.0,52248.0,1594.0,623.0,52.0,13731.0,40.0,82057.0,959.0,168.0,5534.0,42.0,1622.0,4824.0,234.0,384.0,2188.0,3786.0,33844.5,248906.0,7790.0,38434.0,893.0
H4_19_2023_01_07,0.0,200180.0,21571.0,12336.5,44.0,1170.0,128438.0,0.0,41.0,200.0,1948.0,11173.0,13851.0,18.0,0.0,4166.0,1178.0,1659.0,4110.0,6.0,6.0,16.0,0.0,16.0,1140.0,428.0,81943.0,86746.0,103.5,18.0,2.0,3836.0,272.0,4876.5,1800.5,176.0,843.0,523.5,3066.0,49034.0,17658.0,1404.0,4506.0,40671.5,278997.0,16081.0,78.0,1574.0,66.0,110.0,33.5,40998.0,6894.0,5894.0,11338.0,58647.0,18.0,102004.5,472.0,324.0,69609.0,3045.0,113976.5,1194.0,42.0,202.0,26.0,784.0,568.0,1102.0,524.0,793.0,0.0,0.0,0.0,560.0,312.0,23574.0,2758.0,215.0,226.0,10079.0,288.0,41064.0,1657.5,74.0,8272.0,21.0,6898.0,2784.0,4460.0,176.0,10950.0,2494.0,63443.5,174828.5,24052.0,23067.0,2133.0
