sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
A1_05_2023_01_04,0.0,464711.0,61999.5,50238.0,409.0,3475.0,148198.0,35.0,465.0,1099.5,54348.5,66963.5,64002.5,396.0,0.0,31491.0,9473.0,13710.0,28231.5,302.0,118.0,269.0,0.0,80.0,7710.0,2175.0,223913.5,129747.5,5791.5,1254.0,3.0,16130.0,879.0,53177.0,39360.0,3647.5,11150.5,20677.5,21742.0,61975.0,111408.0,7694.0,47291.5,152322.5,216269.5,48278.0,568.0,15972.5,730.5,1854.0,1235.0,153051.5,120219.0,48164.0,45049.5,116128.0,618.0,122630.0,3746.5,4991.5,80479.5,20734.5,133172.5,11677.5,664.0,1443.0,1448.0,4653.0,3814.0,4465.0,19892.0,6160.0,10.0,23.0,0.0,19454.0,4042.5,198902.5,9130.0,6264.0,7494.0,52707.5,2041.0,105205.0,43279.0,796.0,52539.0,341.0,49840.0,13091.5,49901.5,2457.0,41328.5,31898.5,128914.5,403841.0,195753.0,100305.0,36204.0
A2_10_2023_01_05,8.0,251466.0,41791.0,36773.0,2355.0,4904.0,115443.0,154.0,3586.0,1496.0,73920.0,34280.0,31712.0,2167.5,0.0,33142.0,18333.5,10564.0,27712.0,729.0,592.0,513.5,34.0,205.0,18763.5,1539.5,121399.0,59012.5,6226.0,16655.0,158.0,11170.0,2481.5,63472.0,31131.5,16413.0,19947.0,16442.5,19537.5,36485.5,71331.5,12211.0,48098.5,104132.0,113022.0,44478.0,4640.0,33587.5,633.0,9537.0,818.0,78779.5,75390.0,58592.5,44796.5,72111.5,7829.0,54303.0,10203.5,1878.5,27144.5,15892.0,78511.5,3366.0,1941.0,1759.0,6217.5,1984.5,12277.5,4387.0,19319.0,6534.0,525.5,201.0,18.0,12199.0,25484.0,129633.0,2091.5,8169.0,24665.5,38737.0,5430.5,58867.5,69198.5,2768.0,50847.0,1208.0,50461.5,18142.0,27092.0,5840.5,14590.0,54769.5,81049.5,272690.5,187311.5,48262.0,37620.0
A3_16_2023_01_06,158.0,595083.5,73861.5,96928.0,1129.5,11215.0,180115.0,139.0,1034.0,668.5,80636.5,79976.5,106249.5,1289.5,0.0,34143.0,22266.5,11980.0,46693.5,925.0,293.0,1021.5,7.0,285.0,25736.0,2662.0,287305.5,189746.5,6361.5,3913.0,25.0,30718.0,2305.5,96974.0,59172.0,11443.0,23539.0,32499.0,36234.0,96017.5,128925.0,14767.0,70761.5,233681.5,266487.0,85157.0,2378.0,40563.5,733.0,4758.0,937.0,251480.5,174488.0,72910.5,85159.0,191922.5,4091.0,160141.0,14865.0,2749.5,90417.5,30661.5,179083.5,5326.0,1329.0,2204.5,6518.0,5295.5,13291.0,4436.0,38961.0,7373.0,154.5,75.0,2.0,17269.0,12391.5,141174.0,4522.0,15291.0,29045.5,86830.5,6018.0,152747.0,66085.5,2154.5,72931.0,1324.0,63145.0,18118.5,88060.5,7300.5,46200.0,72699.0,140777.5,552667.5,219188.0,84595.0,25806.0
A4_17_2023_01_07,0.0,391237.5,50622.5,58240.5,1355.0,12215.5,116696.0,140.0,1032.0,433.0,73450.5,66057.5,61680.5,2605.0,0.0,55033.0,16202.0,15122.0,39936.0,1002.0,287.0,1481.0,11.0,398.0,17789.0,2004.0,192896.5,153442.5,4558.5,6334.5,22.0,19124.0,1279.5,83985.0,43511.0,11677.5,23540.0,28143.0,38321.0,60855.0,118801.0,10511.0,72516.5,142742.0,194367.5,59235.5,3852.0,29941.0,549.0,4634.0,931.0,160353.0,130743.0,80393.5,73020.5,142220.5,6421.0,91413.0,9989.5,1934.0,61640.5,17154.5,116835.0,4780.5,1895.0,3048.0,12019.5,4340.5,15446.0,8359.0,36855.5,10991.0,221.0,158.0,0.0,31078.5,17620.0,232586.0,3196.5,14216.0,28944.0,66294.0,7929.0,121850.5,94939.0,2062.5,79859.5,1143.0,75533.5,20464.0,71094.5,6781.0,26740.5,57853.5,115422.0,448102.0,240691.0,87732.5,33844.5
A5_19_2023_01_08,0.0,1000690.0,54331.0,10560.0,13.0,1736.0,28022.0,1.0,31.0,850.5,1304.0,34276.0,201.0,69.0,0.0,9463.0,133.0,7981.0,859.0,50.0,1.0,77.0,0.0,11.0,310.0,1778.0,54907.0,417132.5,81.0,109.5,0.0,15503.0,73.0,13157.5,3277.0,451.0,45.0,5710.0,530.0,153936.0,19920.0,3902.0,4375.0,396651.5,230084.5,74132.0,2.0,3785.0,9.0,1041.0,249.0,828666.0,116748.0,45410.0,2130.0,234986.5,10.0,368429.5,23.0,3403.0,12332.5,23567.5,44234.0,15004.0,10.0,396.0,0.0,1946.0,52.0,2150.0,42.0,1851.0,0.0,2.0,0.0,4585.0,12.0,168498.0,1788.0,862.0,44.0,25516.0,59.0,153901.5,961.0,192.0,6335.0,101.0,1428.0,3076.0,64.0,894.0,2548.0,4242.0,50637.5,1036681.5,4240.0,50374.0,1900.0
A6_25_2023_01_09,0.0,187746.5,123440.0,153036.5,11151.0,36229.0,313911.0,2371.0,13077.0,565.0,142468.0,121926.5,108070.0,21733.5,0.0,121798.0,57243.5,65004.0,96569.0,14904.0,975.5,5376.5,1761.0,2896.0,66588.0,4289.0,145443.5,91391.0,4372.5,4256.0,665.0,12665.5,6936.5,51743.5,109825.0,6555.5,58450.0,24119.5,49605.0,35157.0,72453.5,20368.0,154944.0,145915.0,232705.5,25553.0,20588.0,23464.5,1056.0,5972.5,458.0,178007.0,190528.0,70841.5,120858.0,149070.0,24631.0,167325.5,25737.5,1658.0,46548.0,51304.5,162348.5,2606.0,7902.0,2862.5,55657.5,10009.0,56318.5,11428.0,81314.0,21737.0,6650.0,1454.5,45.0,15718.0,35430.5,267547.0,3945.0,35393.0,134372.5,98351.0,22509.5,131736.0,179049.5,8474.0,156396.5,5644.5,131000.0,7183.0,151715.5,22633.0,103060.5,180826.5,195351.0,527463.5,227180.0,194455.0,65419.0
B1_05_2023_01_05,0.0,413171.0,55679.5,46963.0,437.0,3927.0,134639.0,35.0,443.0,767.5,42039.0,57121.5,59380.0,519.0,0.0,30124.5,7999.0,10881.0,26596.0,284.0,98.0,378.0,0.0,95.0,7697.0,1682.0,186765.5,117625.0,3655.0,1661.0,0.0,17444.0,616.0,54076.5,30263.0,4098.5,8588.0,19296.0,20018.5,64109.5,88031.0,7817.0,39553.5,147975.0,197506.5,43632.0,565.0,14619.0,502.0,1782.5,1010.0,140578.0,111549.5,48127.0,40610.5,114187.0,680.0,119197.0,3181.5,4316.5,70017.0,20636.5,123472.5,9178.0,834.0,1417.0,1487.0,4404.0,4859.0,4047.0,21505.0,5815.0,7.0,26.0,4.0,15072.0,4078.0,148103.5,7049.0,7812.0,5716.0,59219.5,1880.0,95338.5,38793.0,752.0,44709.0,306.0,36997.5,11250.0,40230.5,2575.5,31660.5,31702.0,103924.0,366109.0,129464.0,79328.5,21054.0
B2_10_2023_01_06,0.0,269647.0,36760.0,32936.0,729.0,6566.0,100651.0,36.0,772.0,479.0,43576.0,34972.0,32757.5,752.0,0.0,31255.0,7890.0,10216.0,19092.0,319.0,135.0,303.0,1.0,91.0,8591.0,1175.0,144443.5,67341.5,4935.0,3836.5,10.0,9717.0,849.5,49318.5,26125.5,5843.5,11594.5,13992.0,16912.5,39869.0,67951.5,7964.0,39112.0,104437.5,124013.5,37188.5,1122.0,16153.0,351.0,2669.0,795.0,81012.0,70905.0,44992.5,38383.0,79285.5,1489.0,66781.5,4489.0,2323.5,37597.5,13743.0,85061.0,4112.0,754.0,1484.0,2004.5,1683.5,6553.0,2641.0,14219.0,5245.0,17.0,22.0,4.0,15988.0,7960.5,135688.0,3345.5,4731.0,10351.0,40516.5,2839.5,62861.0,46255.0,1033.5,41507.5,405.0,38017.5,16250.0,24365.5,3053.0,16065.5,36121.0,85411.0,281754.5,168955.5,52628.0,26264.0
B3_16_2023_01_07,0.0,876161.5,144846.5,53207.5,303.0,4878.0,291446.5,14.0,512.0,3199.5,45250.5,98988.5,60255.5,379.0,0.0,29006.0,6218.5,18858.0,30309.0,335.0,77.0,449.5,0.0,132.0,9346.0,2789.0,402602.5,351152.5,2072.0,1461.5,1.0,31586.0,1210.0,66500.5,62620.0,3954.0,10294.0,22618.0,21643.0,151598.0,162195.5,10686.0,57936.5,375609.0,493116.0,94085.5,489.0,21053.0,584.0,2210.0,1339.0,423363.0,315921.0,68325.5,58005.5,266195.5,425.0,294992.0,4507.0,6618.0,247507.5,47421.0,379589.5,21102.0,959.0,2219.0,876.0,10040.5,3464.0,7162.0,18525.0,9851.0,8.0,20.0,2.0,27038.0,2544.0,310631.5,14375.5,6936.0,6197.0,94286.5,1887.5,205714.0,30331.0,759.0,69627.0,385.0,40422.0,11575.5,29951.5,2999.5,45696.5,17600.0,201460.0,864428.0,125922.0,73015.0,19250.0
B4_17_2023_01_08,960.0,612129.5,97823.5,75671.5,1307.5,18635.0,263800.5,60.0,1079.0,470.0,82247.0,82766.5,90676.5,1521.5,0.0,54321.5,17479.0,24038.0,63353.5,654.0,216.0,1003.0,7.0,154.0,26874.5,2950.0,394085.0,240931.0,5561.0,2945.5,13.0,32604.0,1787.0,96871.5,74935.0,7046.5,24364.0,32832.0,52268.0,85569.0,178202.0,8837.5,76783.0,221792.0,325195.0,88734.5,2661.5,32549.5,698.0,5084.0,1717.0,349058.0,226825.5,110528.0,106647.5,273169.0,5139.0,221517.5,12179.5,3847.0,120306.5,32989.5,237036.0,9743.5,2303.0,2806.0,6398.5,6746.0,10494.0,8460.0,40065.5,12100.0,102.0,110.0,0.0,56013.5,16826.5,370147.5,5105.0,15554.0,30194.0,118899.5,4859.5,215014.5,66978.5,2351.5,68049.5,1532.0,80729.5,22838.5,105307.5,7936.5,56376.5,75319.0,173829.0,772398.5,230739.5,179316.5,44104.5
