sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
A1_05_2023_01_04,0.0,53.0,30.0,14.0,0.0,3.0,37.0,0.0,1.0,20.0,7.0,12.0,57.0,1.0,1.0,13.0,3.0,8.0,15.0,1.0,0.0,0.0,0.0,1.0,3.0,5.0,27.0,39.0,0.0,0.0,0.0,14.0,0.0,17.0,17.0,1.0,6.0,14.0,21.0,25.0,21.0,5.0,8.0,32.0,67.0,11.0,0.0,5.0,2.0,0.0,2.0,52.0,51.0,13.0,29.0,34.0,1.0,41.0,5.0,5.0,37.0,10.0,39.0,5.0,2.0,1.0,0.0,16.0,3.0,3.0,8.0,3.0,0.0,0.0,0.0,4.0,4.0,22.0,6.0,9.0,5.0,15.0,1.0,31.0,2.0,1.0,11.0,0.0,11.0,1.0,18.0,0.0,26.0,9.0,28.0,47.0,25.0,25.0,11.0
A2_10_2023_01_05,0.0,47.0,27.0,27.0,2.0,5.0,45.0,0.0,6.0,25.0,19.0,25.0,38.0,8.0,0.0,10.0,13.0,13.0,19.0,1.0,0.0,2.0,0.0,2.0,9.0,11.0,26.0,32.0,1.0,4.0,0.0,24.0,2.0,30.0,27.0,1.0,19.0,21.0,28.0,33.0,25.0,16.0,13.0,20.0,62.0,21.0,8.0,21.0,1.0,6.0,0.0,36.0,39.0,26.0,29.0,50.0,6.0,48.0,19.0,1.0,36.0,17.0,32.0,4.0,6.0,1.0,7.0,20.0,16.0,8.0,18.0,12.0,2.0,0.0,0.0,13.0,4.0,24.0,1.0,24.0,16.0,19.0,9.0,27.0,12.0,4.0,17.0,3.0,14.0,4.0,40.0,6.0,35.0,17.0,38.0,34.0,25.0,27.0,13.0
A3_16_2023_01_06,0.0,40.0,17.0,20.0,0.0,1.0,30.0,0.0,1.0,10.0,10.0,14.0,31.0,0.0,0.0,5.0,5.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,22.0,25.0,2.0,0.0,0.0,15.0,1.0,10.0,14.0,3.0,4.0,9.0,16.0,16.0,13.0,3.0,18.0,28.0,43.0,15.0,0.0,4.0,1.0,1.0,0.0,37.0,23.0,10.0,15.0,34.0,1.0,36.0,4.0,0.0,28.0,15.0,16.0,1.0,1.0,0.0,0.0,11.0,2.0,0.0,12.0,4.0,0.0,0.0,0.0,3.0,3.0,13.0,1.0,8.0,4.0,17.0,1.0,41.0,6.0,1.0,9.0,1.0,7.0,1.0,28.0,4.0,24.0,7.0,12.0,34.0,13.0,10.0,9.0
A4_17_2023_01_07,0.0,31.0,16.0,21.0,0.0,4.0,34.0,0.0,1.0,12.0,13.0,13.0,39.0,1.0,0.0,14.0,4.0,7.0,16.0,1.0,0.0,1.0,0.0,0.0,7.0,4.0,21.0,40.0,0.0,0.0,0.0,12.0,0.0,18.0,22.0,4.0,8.0,14.0,24.0,24.0,16.0,8.0,18.0,21.0,55.0,21.0,2.0,12.0,0.0,2.0,0.0,65.0,39.0,18.0,23.0,31.0,1.0,30.0,12.0,0.0,34.0,11.0,25.0,3.0,0.0,2.0,3.0,19.0,5.0,2.0,14.0,7.0,0.0,0.0,0.0,4.0,3.0,31.0,2.0,10.0,3.0,18.0,4.0,31.0,8.0,0.0,16.0,0.0,13.0,2.0,32.0,4.0,24.0,4.0,21.0,39.0,22.0,17.0,11.5
A5_19_2023_01_08,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,8.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,31.0,3.0,0.0,0.0,8.0,0.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,35.0,0.0,2.0,1.0
A6_25_2023_01_09,0.0,12.0,8.0,12.0,3.0,4.0,25.0,0.0,2.0,9.0,11.0,6.0,26.0,2.0,0.0,9.0,4.0,9.0,9.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,8.0,0.0,0.0,0.0,6.0,0.0,3.0,7.0,2.0,5.0,3.0,8.0,5.0,2.0,2.0,12.0,11.0,27.0,4.0,5.0,4.0,0.0,1.0,0.0,16.0,16.0,5.0,11.0,11.0,4.0,17.0,3.0,1.0,4.0,9.0,12.0,0.0,0.0,1.0,4.0,4.0,10.0,1.0,6.0,1.0,1.0,0.0,0.0,1.0,4.0,13.0,0.0,3.0,5.0,6.0,5.0,10.0,9.0,2.0,7.0,0.0,11.0,1.0,23.0,2.0,17.0,9.0,10.0,22.0,7.0,9.0,2.0
B1_05_2023_01_05,0.0,39.0,13.0,18.0,0.0,6.0,24.0,0.0,0.0,14.0,8.0,19.0,38.0,1.0,0.0,3.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,19.0,26.0,0.0,0.0,0.0,12.0,0.0,4.0,6.0,1.0,2.0,8.0,19.0,24.0,12.0,1.0,16.0,29.0,45.0,6.0,0.0,2.0,2.0,0.0,1.0,48.0,27.0,7.0,10.0,37.0,1.0,39.0,3.0,5.0,33.0,18.0,35.0,4.0,3.0,0.0,0.0,14.0,2.0,0.0,10.0,4.0,0.0,0.0,0.0,4.0,2.0,18.0,3.0,7.0,0.0,10.0,0.0,26.0,7.0,1.0,15.0,0.0,5.0,1.0,17.0,0.0,19.0,5.0,17.0,27.0,16.0,9.0,4.0
B2_10_2023_01_06,0.0,35.0,28.0,27.0,1.0,14.0,55.0,1.0,0.0,31.0,28.0,29.0,60.0,0.0,0.0,11.0,4.0,11.0,20.0,0.0,1.0,3.0,0.0,1.0,5.0,24.0,34.0,46.0,3.0,0.0,0.0,30.0,1.0,15.0,16.0,6.0,9.0,19.0,26.0,29.0,30.0,5.0,24.0,35.0,90.0,32.0,0.0,7.0,0.0,3.0,1.0,48.0,44.0,21.0,23.0,47.0,4.0,44.0,9.0,2.0,50.0,19.0,37.0,2.0,7.0,3.0,6.0,24.0,7.0,5.0,23.0,9.0,0.0,0.0,1.0,12.0,6.0,34.0,3.0,19.0,6.0,24.0,3.0,39.0,10.0,2.0,27.0,0.0,16.0,2.0,35.0,1.0,45.0,19.0,34.0,45.0,31.0,32.0,12.0
B3_16_2023_01_07,0.0,36.0,10.0,1.0,0.0,1.0,29.0,0.0,1.0,14.0,4.0,12.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,24.0,31.0,0.0,0.0,0.0,5.0,0.0,5.0,4.0,0.0,0.0,4.0,4.0,15.0,8.0,1.0,6.0,15.0,36.0,15.0,0.0,1.0,0.0,0.0,0.0,35.0,19.0,5.0,7.0,24.0,0.0,29.0,1.0,1.0,27.0,11.0,36.0,5.0,3.0,2.0,1.0,4.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,2.0,2.0,13.0,0.0,3.0,1.0,12.0,0.0,20.0,3.0,0.0,2.0,0.0,1.0,0.0,4.0,0.0,7.0,0.0,11.0,33.0,5.0,4.0,1.0
B4_17_2023_01_08,0.0,33.0,13.0,8.0,0.0,4.0,31.0,0.0,0.0,7.0,6.0,5.0,24.0,0.0,0.0,7.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,24.0,35.0,0.0,0.0,0.0,18.0,1.0,7.0,9.0,0.0,4.0,8.0,11.0,12.0,19.0,1.0,8.0,16.0,50.0,9.0,0.0,2.0,1.0,0.0,0.0,41.0,32.0,3.0,19.0,39.0,0.0,33.0,5.0,0.0,37.0,11.0,38.0,0.0,2.0,0.0,1.0,12.0,2.0,6.0,4.0,2.0,0.0,0.0,0.0,4.0,2.0,38.0,1.0,7.0,5.0,15.0,1.0,17.0,3.0,1.0,7.0,1.0,8.0,2.0,18.0,2.0,21.0,1.0,13.0,42.0,6.0,14.0,5.0
