sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
A1_05_2023_01_04,0.0,400.0,400.0,400.0,17.0,282.0,400.0,5.0,33.0,400.0,400.0,400.0,400.0,26.0,22.0,400.0,373.0,400.0,400.0,35.0,7.0,38.0,0.0,28.0,300.0,348.0,400.0,400.0,169.0,16.0,0.0,400.0,50.0,400.0,400.0,144.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,36.0,400.0,75.0,107.0,118.0,400.0,400.0,400.0,400.0,400.0,42.0,400.0,372.0,315.0,400.0,400.0,400.0,400.0,121.0,81.0,126.0,400.0,240.0,269.0,400.0,400.0,1.0,1.0,0.0,400.0,171.0,400.0,400.0,400.0,171.0,400.0,133.0,400.0,400.0,67.0,400.0,33.0,400.0,242.0,400.0,133.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
A2_10_2023_01_05,0.0,400.0,400.0,400.0,178.0,400.0,400.0,65.0,400.0,400.0,400.0,400.0,400.0,400.0,0.0,400.0,400.0,400.0,400.0,373.0,49.0,263.0,16.0,283.0,400.0,400.0,400.0,400.0,305.0,398.0,19.0,400.0,298.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,173.0,400.0,107.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,277.0,400.0,400.0,400.0,380.0,400.0,255.0,400.0,400.0,400.0,400.0,400.0,400.0,154.0,44.0,4.0,400.0,400.0,400.0,306.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,281.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
A3_16_2023_01_06,0.0,400.0,400.0,400.0,25.0,394.0,400.0,13.0,31.0,400.0,400.0,400.0,400.0,50.0,0.0,400.0,400.0,389.0,400.0,49.0,9.0,48.0,1.0,34.0,400.0,268.0,400.0,400.0,92.0,31.0,0.0,400.0,76.0,400.0,400.0,233.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,91.0,400.0,29.0,129.0,43.0,400.0,400.0,400.0,400.0,400.0,130.0,400.0,400.0,97.0,400.0,400.0,400.0,147.0,104.0,54.0,242.0,360.0,335.0,151.0,400.0,400.0,9.0,4.0,2.0,289.5,206.0,400.0,116.0,400.0,400.0,400.0,182.0,400.0,400.0,78.0,400.0,50.0,400.0,172.0,400.0,182.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
A4_17_2023_01_07,0.0,400.0,400.0,400.0,51.0,400.0,400.0,14.0,80.0,400.0,400.0,400.0,400.0,171.0,0.0,400.0,400.0,400.0,400.0,132.0,7.0,142.0,3.0,132.0,400.0,400.0,400.0,400.0,104.0,79.0,0.0,400.0,87.0,400.0,400.0,358.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,290.0,400.0,47.0,235.0,50.0,400.0,400.0,400.0,400.0,400.0,383.0,400.0,400.0,132.0,400.0,400.0,400.0,236.0,364.0,188.0,400.0,400.0,400.0,400.0,400.0,400.0,9.0,7.0,0.0,400.0,400.0,400.0,179.0,400.0,400.0,400.0,400.0,400.0,400.0,180.0,400.0,71.0,400.0,304.0,400.0,307.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
A5_19_2023_01_08,0.0,400.0,315.0,54.0,1.0,9.0,129.0,0.0,0.0,377.0,6.0,119.0,6.0,0.0,0.0,31.0,2.0,40.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,19.0,223.0,400.0,0.0,1.0,0.0,99.0,0.0,47.0,13.0,0.0,2.0,36.0,2.0,400.0,74.0,18.0,27.0,400.0,400.0,315.0,1.0,14.0,0.0,5.0,0.0,400.0,400.0,169.0,8.0,400.0,1.0,400.0,2.0,13.0,63.0,125.0,170.0,63.0,0.0,0.0,0.0,20.0,1.0,8.0,0.0,19.0,0.0,0.0,0.0,19.0,1.0,400.0,14.0,7.0,4.0,79.0,0.0,400.0,7.0,1.0,31.0,0.0,7.0,10.0,4.0,3.0,10.0,11.0,225.0,400.0,16.0,182.0,10.0
A6_25_2023_01_09,0.0,400.0,400.0,400.0,143.0,400.0,400.0,72.0,179.0,400.0,400.0,400.0,400.0,301.0,0.0,400.0,400.0,400.0,400.0,327.0,13.0,135.0,37.0,195.0,400.0,225.0,400.0,400.0,40.0,23.0,4.0,375.0,105.0,385.0,400.0,72.0,400.0,398.0,400.0,400.0,400.0,358.0,400.0,400.0,400.0,310.0,372.0,258.0,19.0,77.0,5.0,400.0,400.0,400.0,400.0,400.0,322.0,400.0,400.0,28.0,400.0,400.0,400.0,35.0,242.0,53.0,400.0,385.0,400.0,188.0,400.0,400.0,96.0,21.0,1.0,222.0,317.0,400.0,60.0,400.0,400.0,400.0,353.0,400.0,400.0,158.0,400.0,79.0,400.0,62.0,400.0,239.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
B1_05_2023_01_05,0.0,400.0,400.0,400.0,10.0,303.0,400.0,7.0,26.0,400.0,400.0,400.0,400.0,39.0,0.0,400.0,277.0,400.0,400.0,38.0,4.0,74.0,0.0,39.0,266.0,379.0,400.0,400.0,89.0,25.0,1.0,400.0,28.0,400.0,400.0,150.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,32.0,400.0,38.0,101.0,67.0,400.0,400.0,400.0,400.0,400.0,41.0,400.0,325.0,280.0,400.0,400.0,400.0,400.0,146.0,75.0,134.0,400.0,267.0,280.0,400.0,400.0,1.0,2.0,0.0,397.5,157.0,400.0,374.0,400.0,119.0,400.0,134.0,400.0,400.0,69.0,400.0,29.0,400.0,188.0,400.0,131.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
B2_10_2023_01_06,0.0,400.0,400.0,400.0,64.0,400.0,400.0,17.0,93.0,400.0,400.0,400.0,400.0,219.0,0.0,400.0,400.0,400.0,400.0,194.0,14.0,182.0,0.0,144.0,400.0,400.0,400.0,400.0,273.0,120.0,1.0,400.0,129.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,245.0,400.0,101.0,377.0,125.0,400.0,400.0,400.0,400.0,400.0,233.0,400.0,400.0,370.0,400.0,400.0,400.0,400.0,343.0,229.0,400.0,400.0,400.0,400.0,400.0,400.0,12.0,8.0,1.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,249.0,400.0,104.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
B3_16_2023_01_07,0.0,400.0,400.0,400.0,2.0,92.0,400.0,1.0,9.0,400.0,357.0,400.0,400.0,6.0,0.0,276.0,70.0,312.0,370.0,4.0,0.0,5.0,1.0,6.0,105.0,94.0,400.0,400.0,28.0,5.0,0.0,400.0,22.0,400.0,400.0,47.0,151.0,372.0,395.0,400.0,400.0,165.0,400.0,400.0,400.0,400.0,9.0,232.0,12.0,31.0,18.0,400.0,400.0,400.0,400.0,400.0,4.0,400.0,112.0,106.0,400.0,400.0,400.0,312.0,31.0,21.0,25.0,292.0,46.0,87.0,201.0,254.0,0.0,0.0,0.0,185.5,28.0,400.0,187.0,149.0,53.0,400.0,36.0,400.0,219.0,19.0,400.0,6.0,330.0,74.0,400.0,40.0,334.0,95.0,400.0,400.0,400.0,380.0,233.5
B4_17_2023_01_08,7.0,400.0,400.0,400.0,27.0,400.0,400.0,0.0,31.0,400.0,400.0,400.0,400.0,46.0,0.0,400.0,299.0,400.0,400.0,32.0,4.0,35.0,1.0,10.0,389.0,325.0,400.0,400.0,74.0,17.0,0.0,400.0,50.0,400.0,400.0,125.0,400.0,400.0,400.0,400.0,400.0,266.0,400.0,400.0,400.0,400.0,96.0,400.0,23.0,111.0,41.0,400.0,400.0,400.0,400.0,400.0,114.0,400.0,400.0,98.0,400.0,400.0,400.0,192.0,149.0,56.0,151.0,400.0,258.0,256.0,400.0,400.0,2.0,2.0,0.0,400.0,248.0,400.0,126.0,400.0,308.0,400.0,135.0,400.0,400.0,82.0,400.0,32.0,400.0,200.0,400.0,175.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
